Date,Open,High,Low,Close,Adj Close,Volume
2012-01-18,1905.000000,1999.800049,1900.000000,1980.000000,1936.163696,4499
2012-01-19,1999.000000,2045.000000,1990.000000,2005.900024,1961.490234,2511
2012-01-20,2006.000000,2135.000000,2006.000000,2066.850098,2021.090698,1747
2012-01-23,2075.000000,2179.000000,2049.000000,2155.250000,2107.533691,2690
2012-01-24,2170.000000,2197.500000,2140.000000,2189.199951,2140.732178,2233
2012-01-25,2239.850098,2239.850098,2151.000000,2167.800049,2119.805908,1423
2012-01-27,2200.000000,2239.500000,2171.050049,2218.350098,2169.236816,1071
2012-01-30,2196.100098,2420.000000,2196.100098,2332.000000,2280.370850,11381
2012-01-31,2298.000000,2369.949951,2298.000000,2323.500000,2272.058838,1829
2012-02-01,2335.000000,2365.949951,2278.000000,2300.899902,2249.958740,2088
2012-02-02,2321.000000,2455.750000,2319.949951,2417.850098,2364.319580,5430
2012-02-03,2379.050049,2455.750000,2378.000000,2384.149902,2331.365723,610
2012-02-06,2410.000000,2410.000000,2365.100098,2376.600098,2323.982910,904
2012-02-07,2385.000000,2385.000000,2336.000000,2340.850098,2289.024902,930
2012-02-08,2360.000000,2360.000000,2290.000000,2314.050049,2262.817627,1285
2012-02-09,2304.000000,2340.000000,2300.000000,2310.199951,2259.053223,556
2012-02-10,2605.000000,2605.000000,2410.000000,2514.500000,2458.830322,8178
2012-02-13,2506.000000,2600.000000,2506.000000,2586.199951,2528.942383,4855
2012-02-14,2700.000000,2705.000000,2590.000000,2665.350098,2606.340332,6228
2012-02-15,2689.000000,2713.949951,2630.000000,2632.750000,2574.462158,2071
2012-02-16,2639.500000,2639.500000,2600.000000,2623.550049,2565.465820,971
2012-02-17,2629.000000,2651.100098,2550.000000,2569.449951,2512.563232,1025
2012-02-21,2575.000000,2601.050049,2526.000000,2530.899902,2474.866699,632
2012-02-22,2540.000000,2560.000000,2451.100098,2464.199951,2409.643799,587
2012-02-23,2416.000000,2629.699951,2416.000000,2522.250000,2466.408691,1796
2012-02-24,2585.000000,2870.000000,2569.250000,2820.850098,2758.397705,11842
2012-02-27,2710.000000,2815.000000,2623.399902,2646.699951,2588.103027,4311
2012-02-28,2660.000000,2818.000000,2650.000000,2797.550049,2735.613281,3552
2012-02-29,2874.750000,2906.000000,2775.050049,2793.399902,2731.554932,3073
2012-03-01,2800.000000,2849.949951,2751.250000,2797.399902,2735.466064,2657
2012-03-02,2799.850098,2900.000000,2789.050049,2873.500000,2809.881592,3559
2012-03-03,null,null,null,null,null,null
2012-03-05,3050.000000,3235.000000,3050.000000,3089.649902,3021.246338,21854
2012-03-06,3087.000000,3200.000000,3060.100098,3073.300049,3005.258545,7599
2012-03-07,3090.000000,3119.699951,2921.250000,2936.949951,2871.927002,5019
2012-03-09,2950.000000,3040.000000,2949.000000,2964.550049,2898.916260,2786
2012-03-12,2965.000000,3009.000000,2940.000000,2949.000000,2883.710205,999
2012-03-13,2951.050049,2989.899902,2907.000000,2942.899902,2877.745605,1545
2012-03-14,2958.000000,2990.000000,2920.000000,2931.600098,2866.695557,5746
2012-03-15,2930.000000,2948.949951,2849.949951,2851.850098,2788.711182,1296
2012-03-16,2850.000000,2869.899902,2814.500000,2820.250000,2757.810547,819
2012-03-19,2791.100098,2879.949951,2776.000000,2802.050049,2740.013672,1090
2012-03-20,2800.000000,2868.000000,2790.000000,2801.899902,2739.866943,1164
2012-03-21,2839.000000,2839.000000,2783.199951,2810.699951,2748.471924,647
2012-03-22,2810.699951,2824.949951,2751.149902,2768.699951,2707.402100,892
2012-03-23,2790.000000,2790.000000,2748.000000,2758.500000,2697.427979,1008
2012-03-26,2799.899902,2799.899902,2680.500000,2689.100098,2629.564209,9895
